# r	g(r)
2.2099112601	1.0669943027
2.2182348430	0.8837455987
2.2265584259	1.0259932517
2.2348820088	0.8950616636
2.2432055917	1.0792091874
2.2515291746	0.9221723110
2.2598527575	1.1660626137
2.2681763404	1.0611778402
2.2764999233	1.3085509270
2.2848235062	1.4128715893
2.2931470891	1.5338506251
2.3014706720	1.5435977955
2.3097942549	1.7312374522
2.3181178378	1.8250340690
2.3264414207	1.9768971691
2.3347650036	2.0051952985
2.3430885865	1.9085189369
2.3514121694	2.2318544760
2.3597357523	2.2447183162
2.3680593352	2.3555055064
2.3763829181	2.3495957759
2.3847065010	2.3819138019
2.3930300839	2.3086625100
2.4013536668	2.1258363863
2.4096772497	2.2037862766
2.4180008326	2.0625769534
2.4263244155	1.9809217983
2.4346479984	1.8387000725
2.4429715813	1.7217109703
2.4512951642	1.6304420322
2.4596187471	1.4489150513
2.4679423300	1.4776429318
2.4762659129	1.4348748667
2.4845894958	1.2570780154
2.4929130787	1.1131623816
2.5012366616	1.0577440005
2.5095602445	0.9754803948
2.5178838274	0.8701327926
2.5262074103	0.7737107399
2.5345309932	0.7496860422
2.5428545761	0.6544347543
2.5511781590	0.4688264740
2.5595017419	0.4732698108
2.5678253248	0.5183431890
2.5761489077	0.4431875828
2.5844724906	0.2959108466
2.5927960735	0.2839491975
2.6011196564	0.3005160153
2.6094432393	0.2059056614
2.6177668222	0.1748633870
2.6260904051	0.1542197822
2.6344139880	0.1298053724
2.6427375709	0.1081593238
2.6510611538	0.1203023989
2.6593847367	0.0768675939
2.6677083196	0.0531295559
2.6760319025	0.0578035959
2.6843554854	0.0534800037
2.6926790683	0.0385960568
2.7010026512	0.0329826842
2.7093262341	0.0235141787
2.7176498170	0.0346595370
2.7259733999	0.0104577769
2.7342969828	0.0118404371
2.7426205657	0.0108538044
2.7509441486	0.0261835730
2.7592677315	0.0038428473
2.7675913144	0.0029833815
2.7759148973	0.0029666083
2.7842384802	0.0026455771
2.7925620631	0.0017039955
2.8008856460	0.0013420784
2.8092092289	0.0030629383
2.8175328118	0.0036091424
2.8258563947	0.0042597766
2.8341799776	0.0036416092
2.8425035605	0.0039519976
2.8508271434	0.0037575363
2.8591507263	0.0038225932
2.8674743092	0.0086308057
2.8757978921	0.0105551691
2.8841214750	0.0140881903
2.8924450580	0.0202226045
2.9007686409	0.0329284844
2.9090922238	0.0405872190
2.9174158067	0.0703520505
2.9257393896	0.0811507344
2.9340629725	0.1036111457
2.9423865554	0.1188774131
2.9507101383	0.1829309369
2.9590337212	0.1755138843
2.9673573041	0.2907091844
2.9756808870	0.2973586381
2.9840044699	0.3511558575
2.9923280528	0.4655039815
3.0006516357	0.5664586945
3.0089752186	0.6348144725
3.0172988015	0.8328047645
3.0256223844	0.9621641199
3.0339459673	1.1138816894
3.0422695502	1.3056650642
3.0505931331	1.4976412169
3.0589167160	1.6191166395
3.0672402989	1.8055873978
3.0755638818	2.0561584176
3.0838874647	2.1007041761
3.0922110476	2.3344387810
3.1005346305	2.3092433771
3.1088582134	2.6312935312
3.1171817963	2.7933024284
3.1255053792	2.9614977102
3.1338289621	2.7686532809
3.1421525450	3.0200484124
3.1504761279	3.0983007712
3.1587997108	3.0140240196
3.1671232937	3.2549573901
3.1754468766	2.9581527360
3.1837704595	3.0992799890
3.1920940424	3.0151037211
3.2004176253	2.9725487679
3.2087412082	2.8325949459
3.2170647911	2.7809524750
3.2253883740	2.7326552030
3.2337119569	2.5151115260
3.2420355398	2.4556609249
3.2503591227	2.2853112695
3.2586827056	2.1620999866
3.2670062885	2.0666253981
3.2753298714	1.6845519412
3.2836534543	1.5267776070
3.2919770372	1.4819881442
3.3003006201	1.3407553336
3.3086242030	1.1805381197
3.3169477859	1.1382713924
3.3252713688	0.8722526216
3.3335949517	0.8805686915
3.3419185346	0.6768727828
3.3502421175	0.6656248337
3.3585657004	0.5260899318
3.3668892833	0.6252129460
3.3752128662	0.5051672289
3.3835364491	0.4713981244
3.3918600320	0.4201397286
3.4001836149	0.4362629395
3.4085071978	0.3912437057
3.4168307807	0.4173554447
3.4251543636	0.4277409587
3.4334779465	0.4908042219
3.4418015294	0.4327111634
3.4501251123	0.5058936871
3.4584486952	0.4868835476
3.4667722781	0.5916371368
3.4750958610	0.6820144022
3.4834194439	0.7515688616
3.4917430268	0.8156143564
3.5000666097	0.8517979784
3.5083901926	0.9707933916
3.5167137755	1.0363861200
3.5250373584	1.1121663947
3.5333609413	1.1122952726
3.5416845242	1.1142763263
3.5500081071	1.1937967721
3.5583316900	1.3340146621
3.5666552729	1.3585899725
3.5749788558	1.4760609760
3.5833024387	1.2557549832
3.5916260216	1.3457928367
3.5999496045	1.3152064755
3.6082731874	1.3497185956
3.6165967703	1.2655468143
3.6249203532	1.3217792817
3.6332439361	1.2144225055
3.6415675190	1.2098745541
3.6498911019	1.2636287404
3.6582146848	1.2162005718
3.6665382677	1.0273888712
3.6748618506	0.9755251960
3.6831854335	0.9702647602
3.6915090164	0.8864552974
3.6998325993	0.8184390253
3.7081561822	0.6730354569
3.7164797651	0.7554018764
3.7248033480	0.5693950202
3.7331269309	0.5411536356
3.7414505138	0.5083803150
3.7497740967	0.4814833327
3.7580976796	0.4098622654
3.7664212625	0.3204951112
3.7747448454	0.2802256992
3.7830684283	0.2443837422
3.7913920112	0.2534523376
3.7997155941	0.2243622134
3.8080391770	0.1267627374
3.8163627599	0.1374348192
3.8246863428	0.1041058917
3.8330099257	0.1297973394
3.8413335086	0.0913915116
3.8496570915	0.0964825567
3.8579806744	0.0551040534
3.8663042573	0.0572895950
3.8746278402	0.0377913679
3.8829514231	0.0558128959
3.8912750060	0.0418901857
3.8995985889	0.0570121970
3.9079221718	0.0431406810
3.9162457547	0.0474487641
3.9245693376	0.0510741936
3.9328929205	0.0872141849
3.9412165034	0.0997928500
3.9495400863	0.1164556197
3.9578636692	0.1737451096
3.9661872521	0.2440244820
3.9745108350	0.2258661879
3.9828344179	0.2398567000
3.9911580008	0.2726745333
3.9994815837	0.2979237021
4.0078051666	0.3845750653
4.0161287495	0.4405859299
4.0244523324	0.4624642352
4.0327759153	0.5442146544
4.0410994982	0.6282038150
4.0494230811	0.7240870725
4.0577466640	0.7944630106
4.0660702469	0.8659615879
4.0743938298	0.9224065450
4.0827174127	1.1070154741
4.0910409956	1.1621666910
4.0993645785	1.0672827615
4.1076881614	1.1835560937
4.1160117443	1.2206917040
4.1243353272	1.3824789529
4.1326589101	1.3807618214
4.1409824930	1.5867601577
4.1493060759	1.5240418707
4.1576296588	1.6463241144
